Unit,Period,Days,Account,Amount
00040302CD88,1,30,Sales,89952
00040302CD88,2,31,Sales,90594
00040302CD88,3,30,Sales,81909
00040302CD88,4,31,Sales,87418
00040302CD88,5,31,Sales,91109
00040302CD88,6,30,Sales,94117
00040302CD88,7,31,Sales,101795
00040302CD88,8,30,Sales,92009
00040302CD88,9,31,Sales,97194
00040302CD88,10,31,Sales,101624
00040302CD88,11,28,Sales,110940
00040302CD88,12,31,Sales,123505
00040302CD88,13,30,Sales,118004
00040302CD88,14,31,Sales,112641
00040302CD88,15,30,Sales,117077
00040302CD88,16,31,Sales,121183
00040302CD88,17,31,Sales,115029
00040302CD88,18,30,Sales,129809
00040302CD88,19,31,Sales,136668
00040302CD88,20,30,Sales,128988
00040302CD88,21,31,Sales,139440
00040302CD88,22,31,Sales,125878
00040302CD88,23,28,Sales,121580
00040302CD88,24,31,Sales,143320
00040302CE36,1,30,Sales,204016
00040302CE36,2,31,Sales,236567
00040302CE36,3,30,Sales,237080
00040302CE36,4,31,Sales,252568
00040302CE36,5,31,Sales,230305
00040302CE36,6,30,Sales,211968
00040302CE36,7,31,Sales,245223
00040302CE36,8,30,Sales,228258
00040302CE36,9,31,Sales,244711
00040302CE36,10,31,Sales,221689
00040302CE36,11,28,Sales,219831
00040302CE36,12,31,Sales,238574
00040302CE36,13,30,Sales,236320
00040302CE36,14,31,Sales,231977
00040302CE36,15,30,Sales,235532
00040302CE36,16,31,Sales,234052
00040302CE36,17,31,Sales,230519
00040302CE36,18,30,Sales,226945
00040302CE36,19,31,Sales,243211
00040302CE36,20,30,Sales,229564
00040302CE36,21,31,Sales,250774
00040302CE36,22,31,Sales,209133
00040302CE36,23,28,Sales,208239
00040302CE36,24,31,Sales,236886
00040302CF03,1,30,Sales,102838
00040302CF03,2,31,Sales,129004
00040302CF03,3,30,Sales,130262
00040302CF03,4,31,Sales,132007
00040302CF03,5,31,Sales,130112
00040302CF03,6,30,Sales,126279
00040302CF03,7,31,Sales,146319
00040302CF03,8,30,Sales,126813
00040302CF03,9,31,Sales,149506
00040302CF03,10,31,Sales,133056
00040302CF03,11,28,Sales,133353
00040302CF03,12,31,Sales,160594
00040302CF03,13,30,Sales,161001
00040302CF03,14,31,Sales,157385
00040302CF03,15,30,Sales,162162
00040302CF03,16,31,Sales,164640
00040302CF03,17,31,Sales,162147
00040302CF03,18,30,Sales,156837
00040302CF03,19,31,Sales,174003
00040302CF03,20,30,Sales,181500
00040302CF03,21,31,Sales,222973
00040302CF03,22,31,Sales,166348
00040302CF03,23,28,Sales,154662
00040302CF03,24,31,Sales,167980
00040302CF28,1,30,Sales,130284
00040302CF28,2,31,Sales,156950
00040302CF28,3,30,Sales,153357
00040302CF28,4,31,Sales,159959
00040302CF28,5,31,Sales,154240
00040302CF28,6,30,Sales,155065
00040302CF28,7,31,Sales,176005
00040302CF28,8,30,Sales,164623
00040302CF28,9,31,Sales,180617
00040302CF28,10,31,Sales,164423
00040302CF28,11,28,Sales,172072
00040302CF28,12,31,Sales,189525
00040302CF28,13,30,Sales,192596
00040302CF28,14,31,Sales,191433
00040302CF28,15,30,Sales,193629
00040302CF28,16,31,Sales,190562
00040302CF28,17,31,Sales,183407
00040302CF28,18,30,Sales,192647
00040302CF28,19,31,Sales,215023
00040302CF28,20,30,Sales,211029
00040302CF28,21,31,Sales,244688
00040302CF28,22,31,Sales,199787
00040302CF28,23,28,Sales,201508
00040302CF28,24,31,Sales,230053
00040302D006,1,30,Sales,44281
00040302D006,2,31,Sales,47250
00040302D006,3,30,Sales,49718
00040302D006,4,31,Sales,54521
00040302D006,5,31,Sales,49887
00040302D006,6,30,Sales,54693
00040302D006,7,31,Sales,57047
00040302D006,8,30,Sales,59197
00040302D006,9,31,Sales,61328
00040302D006,10,31,Sales,50793
00040302D006,11,28,Sales,58093
00040302D006,12,31,Sales,60585
00040302D006,13,30,Sales,64893
00040302D006,14,31,Sales,62754
00040302D006,15,30,Sales,65270
00040302D006,16,31,Sales,64874
00040302D006,17,31,Sales,70577
00040302D006,18,30,Sales,78387
00040302D006,19,31,Sales,87423
00040302D006,20,30,Sales,87576
00040302D006,21,31,Sales,96489
00040302D006,22,31,Sales,78682
00040302D006,23,28,Sales,76094
00040302D006,24,31,Sales,88447
00040302D014,1,30,Sales,243340
00040302D014,2,31,Sales,263644
00040302D014,3,30,Sales,254097
00040302D014,4,31,Sales,273874
00040302D014,5,31,Sales,275323
00040302D014,6,30,Sales,248653
00040302D014,7,31,Sales,274309
00040302D014,8,30,Sales,245148
00040302D014,9,31,Sales,276704
00040302D014,10,31,Sales,239625
00040302D014,11,28,Sales,237942
00040302D014,12,31,Sales,257417
00040302D014,13,30,Sales,266429
00040302D014,14,31,Sales,260507
00040302D014,15,30,Sales,269351
00040302D014,16,31,Sales,253020
00040302D014,17,31,Sales,243590
00040302D014,18,30,Sales,230958
00040302D014,19,31,Sales,262053
00040302D014,20,30,Sales,247218
00040302D014,21,31,Sales,273373
00040302D014,22,31,Sales,230933
00040302D014,23,28,Sales,218955
00040302D014,24,31,Sales,256734
0004030A635E,1,30,Sales,450042
0004030A635E,2,31,Sales,500381
0004030A635E,3,30,Sales,481670
0004030A635E,4,31,Sales,530140
0004030A635E,5,31,Sales,533084
0004030A635E,6,30,Sales,484562
0004030A635E,7,31,Sales,528055
0004030A635E,8,30,Sales,489677
0004030A635E,9,31,Sales,532716
0004030A635E,10,31,Sales,482226
0004030A635E,11,28,Sales,462573
0004030A635E,12,31,Sales,507321
0004030A635E,13,30,Sales,527336
0004030A635E,14,31,Sales,527405
0004030A635E,15,30,Sales,542180
0004030A635E,16,31,Sales,545566
0004030A635E,17,31,Sales,542271
0004030A635E,18,30,Sales,523636
0004030A635E,19,31,Sales,548797
0004030A635E,20,30,Sales,534861
0004030A635E,21,31,Sales,573462
0004030A635E,22,31,Sales,489188
0004030A635E,23,28,Sales,466990
0004030A635E,24,31,Sales,534576
0004030B92EE,1,30,Sales,307002
0004030B92EE,2,31,Sales,353037
0004030B92EE,3,30,Sales,357713
0004030B92EE,4,31,Sales,369867
0004030B92EE,5,31,Sales,328995
0004030B92EE,6,30,Sales,318925
0004030B92EE,7,31,Sales,348250
0004030B92EE,8,30,Sales,300627
0004030B92EE,9,31,Sales,324793
0004030B92EE,10,31,Sales,285271
0004030B92EE,11,28,Sales,289183
0004030B92EE,12,31,Sales,315731
0004030B92EE,13,30,Sales,311089
0004030B92EE,14,31,Sales,318680
0004030B92EE,15,30,Sales,307161
0004030B92EE,16,31,Sales,310868
0004030B92EE,17,31,Sales,311810
0004030B92EE,18,30,Sales,322562
0004030B92EE,19,31,Sales,335377
0004030B92EE,20,30,Sales,322924
0004030B92EE,21,31,Sales,343807
0004030B92EE,22,31,Sales,312494
0004030B92EE,23,28,Sales,314202
0004030B92EE,24,31,Sales,365658
0004030BEB57,1,30,Sales,420988
0004030BEB57,2,31,Sales,444902
0004030BEB57,3,30,Sales,371490
0004030BEB57,4,31,Sales,430230
0004030BEB57,5,31,Sales,407093
0004030BEB57,6,30,Sales,395770
0004030BEB57,7,31,Sales,432695
0004030BEB57,8,30,Sales,370781
0004030BEB57,9,31,Sales,425371
0004030BEB57,10,31,Sales,368604
0004030BEB57,11,28,Sales,358792
0004030BEB57,12,31,Sales,389120
0004030BEB57,13,30,Sales,402167
0004030BEB57,14,31,Sales,383976
0004030BEB57,15,30,Sales,401974
0004030BEB57,16,31,Sales,398870
0004030BEB57,17,31,Sales,371422
0004030BEB57,18,30,Sales,367980
0004030BEB57,19,31,Sales,388808
0004030BEB57,20,30,Sales,374497
0004030BEB57,21,31,Sales,424685
0004030BEB57,22,31,Sales,363205
0004030BEB57,23,28,Sales,357611
0004030BEB57,24,31,Sales,413521
00040302CD88,1,30,Cost of Sales - Food,20557
00040302CD88,2,31,Cost of Sales - Food,20876
00040302CD88,3,30,Cost of Sales - Food,19531
00040302CD88,4,31,Cost of Sales - Food,20999
00040302CD88,5,31,Cost of Sales - Food,21357
00040302CD88,6,30,Cost of Sales - Food,26257
00040302CD88,7,31,Cost of Sales - Food,25724
00040302CD88,8,30,Cost of Sales - Food,23801
00040302CD88,9,31,Cost of Sales - Food,23452
00040302CD88,10,31,Cost of Sales - Food,27442
00040302CD88,11,28,Cost of Sales - Food,27522
00040302CD88,12,31,Cost of Sales - Food,33077
00040302CD88,13,30,Cost of Sales - Food,28697
