
output orientation, VRS
DMU,Efficiency,Categorical: Categorical
00040302CD88,Infeasible,1.000000
00040302CE36,inf,2.000000
00040302CF03,inf,3.000000
00040302CF28,Infeasible,1.000000
00040302D006,Infeasible,2.000000
00040302D014,inf,3.000000
0004030A635E,Infeasible,1.000000
0004030B92EE,Infeasible,2.000000
0004030BEB57,Infeasible,3.000000
output orientation, VRS second phase
DMU,Efficiency,Categorical: Categorical
00040302CD88,Infeasible,1.000000
00040302CE36,inf,2.000000
00040302CF03,inf,3.000000
00040302CF28,Infeasible,1.000000
00040302D006,Infeasible,2.000000
00040302D014,inf,3.000000
0004030A635E,Infeasible,1.000000
0004030B92EE,Infeasible,2.000000
0004030BEB57,Infeasible,3.000000
